"specie";"ancient_scientific_name";"scientific_name";"short_name";"mean_regional_size";"spawning_type";"L50_mean";"migration";"parental_care";"reproductive_guild";"diet";"origin";"order";"family";"slope";"p.value";"r2";"n"
"I.labrosu";"Iheringichthys labrosus";"Iheringichthys labrosus";"I.lab";17.02;"Partial";12.55;"No";"No";"NEFW";"Inv";"Invasive";"Siluriformes";"Pimelodidae";1.96603324512201;4.56440714554654e-42;0.973938833953823;53
"H.oremacu";"Hypophthalmus oremaculatus";"Hypophthalmus oremaculatus";"H.ore";26.55;"Partial";24.55;"No";"No";"NEFW";"Plan";"Invasive";"Siluriformes";"Pimelodidae";1.87599510366667;9.71166068248217e-32;0.944215724212229;50
"S.lima";"Sorubim lima";"Sorubim lima";"S.lim";30.04;"Total";22.7;"Yes";"No";"LMEF";"Pisc";"Invasive";"Siluriformes";"Pimelodidae";1.77077643810728;9.63499441919934e-27;0.948566286064578;41
"P.corrusc";"Pseudoplatystoma corruscans ";"Pseudoplatystoma corruscans ";"P.cor";41.04;"Total";58.1;"Yes";"No";"LMEF";"Pisc";"Native";"Siluriformes";"Pimelodidae";1.5482617577094;8.81501697816923e-34;0.907702492303815;64
"H.platyrh";"Hemisorubim platyrhynchos";"Hemisorubim platyrhynchos";"H.pla";27.1;"Total";27.8;"Yes";"No";"LMEF";"Pisc";"Native";"Siluriformes";"Pimelodidae";1.68486992947464;1.88440030051464e-39;0.957657584587836;57
"A.osteomy";"Auchenipterus osteomystax";"Auchenipterus osteomystax";"A.ost";18.08;"Partial";15;"No";"Yes";"NIF";"Ins";"Invasive";"Siluriformes";"Auchenipteridae";1.95780956445074;1.60156576114835e-47;0.962954734375906;66
"P.galeatu";"Parauchenipterus galeatus";"Trachelyopterus galeatus";"T.gal";13.57;"Partial";11.05;"No";"Yes";"NIF";"Omn";"Invasive";"Siluriformes";"Auchenipteridae";1.75618336881011;3.4681449271345e-27;0.831112795002249;68
"P.mysteri";"Pimelodus mysteriosus";"Pimelodus mysteriosus";"P.mys";14.84;"Total";15.25;"No";"No";"NEFW";"Omn";"Native";"Siluriformes";"Pimelodidae";1.82871123928824;4.23426169055539e-19;0.944311649174499;30
"T.paragua";"Trachydoras paraguayensis";"Trachydoras paraguayensis";"T.par";8.2;"Partial";6.35;"No";"No";"NEFW";"Inv";"Invasive";"Siluriformes";"Doradidae";1.85610838937695;8.90100856374165e-38;0.948576722335327;58
"P.granulo";"Pterodoras granulosus";"Pterodoras granulosus";"P.gra";23.42;"Partial";24.8;"Yes";"No";"LMEF";"Omn";"Invasive";"Siluriformes";"Doradidae";1.80416783469437;1.02919856831287e-37;0.951033583805946;57
"P.ambrose";"Pterygoplichthys ambrosettii ";"Pterygoplichthys ambrosettii ";"P.amb";28.06;"Partial";24.2;"No";"Yes";"NEFP";"Det";"Invasive";"Siluriformes";"Loricariidae";1.98993445817814;8.83262964304248e-32;0.87733281055783;68
"L.platyme";"Loricariichthys platymetopon";"Loricariichthys platymetopon";"L.pla";20.94;"Partial";15.1;"No";"Yes";"NEFP";"Det";"Invasive";"Siluriformes";"Loricariidae";1.92816862919239;1.69678964392509e-18;0.691149355688201;68
"H.littora";"Hoplosternum littorale";"Hoplosternum littorale";"H.lit";12.41;"Partial";8.3;"No";"Yes";"NEFP";"Inv";"Native";"Siluriformes";"Callichthyidae";1.94077761436065;3.64909344345118e-48;0.968256240349477;64
"R.hahni";"Rhamphichthys hahni";"Rhamphichthys hahni";"R.hah";52.34;"Partial";40.6;"No";"No";"NEFP";"Ins";"Invasive";"Gymnotiformes";"Rhamphichthyidae";1.31657038588079;1.00878591446226e-20;0.846018560170796;49
"G.inaequi";"Gymnotus inaequilabiatus";"Gymnotus inaequilabiatus";"G.ina";25.33;"Partial";18.75;"No";"Yes";"NEFP";"Ins";"Native";"Gymnotiformes";"Gymnotidae";1.88666738500847;5.14999336046028e-30;0.934192704262608;50
"E.triline";"Eigenmannia trilineata";"Eigenmannia trilineata";"E.tri";16.52;"Total";10.4;"No";"No";"NEFP";"Ins";"Native";"Gymnotiformes";"Sternopygidae";1.7986719982443;1.71356126882838e-29;0.922967119616824;52
"C.britski";"Crenicichla britskii";"Crenicichla britskii";"C.bri";11.02;"Total";6.9;"No";"Yes";"NEFP";"Ins";"Native";"Cichliformes";"Cichlidae";1.62635764628434;9.97664444306599e-21;0.827664786445669;52
"S.pappate";"Satanoperca pappaterra";"Satanoperca setepele";"S.set";13.87;"Partial";8.05;"No";"Yes";"NEFP";"Inv";"Native";"Cichliformes";"Cichlidae";1.78072223075635;2.04254676403156e-39;0.927940035402077;68
"A.crassip";"Astronotus crassipinnis";"Astronotus crassipinnis";"A.cra";13.7;"Partial";19.35;"No";"Yes";"NEFP";"Pisc";"Invasive";"Cichliformes";"Cichlidae";1.67974995447945;2.79855481957972e-33;0.929046691732853;57
"C.piquiti";"Cichla piquiti";"Cichla piquiti";"C.piq";19.95;"Partial";22.5;"No";"Yes";"NEFP";"Pisc";"Invasive";"Cichliformes";"Cichlidae";1.55553913479432;1.87294028654619e-23;0.943700463959704;37
"C.kelberi";"Cichla kelberi";"Cichla kelberi";"C.kel";22.61;"Total";17.95;"No";"Yes";"NEFP";"Pisc";"Invasive";"Cichliformes";"Cichlidae";1.79105307557154;4.52681132419279e-34;0.909662495120752;64
"G.sveni";"Geophagus sveni";"Geophagus sveni";"G.sve";8.2;"Partial";10.75;"No";"Yes";"NEFP";"Det";"Invasive";"Cichliformes";"Cichlidae";1.94314773595429;8.16241665951093e-34;0.965518882400015;46
"P.squamos";"Plagioscion squamosissimus";"Plagioscion squamosissimus";"P.squ";24.85;"Partial";17.95;"No";"No";"NEFW";"Pisc";"Invasive";"Acanthuriformes";"Sciaenidae";1.79746032303984;7.72223628336975e-36;0.942717466960571;57
