"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes";"nv.df0";"nv.df1";"nv.df2";"nv.df3";"nv.df4";"nv.df5"
"1";3.80434782633333;8.86431784214078;16.4715719045089;88.8644773608194;2.71739130455;NA;5.4347826101;38.04347826;NA;13.4316770226204;NA;NA;24.8569794071967;NA;3.80434782633333;NA;10.86956522;2.1739130432;NA;NA;3.80434782633333;4.16666666804444;2.21571906417515;22.8208104690959;142.997977751391;2.71739130455;NA;2.9891304348875;9.14031620436364;7.8804347814375;25.5789225046361;5.434782609;8.18965517041094;4.11490683232245;NA;NA;74.7282608687969;209.799417323906;5.9782608714;53.5326086906781;8.04740702030251;NA;NA;100.3913043535;NA;18.6264822148165;58.4395302245424;53.3288043437672;29.3158567767564;"2000/02";276.51724137931;267.645161290323;NA;NA;NA;NA
"2";2.71739130455;5.9782608714;5.434782609;8.152173913;5.434782609;5.434782609;4.3478260872;NA;5.434782609;11.95652174235;NA;NA;10.3260869561333;NA;5.434782609;NA;10.86956522;5.760869565232;NA;NA;3.80434782633333;NA;41.922788610229;24.1200828230839;2.717391304;2.717391304;NA;45.3502415497465;6.5217391279;4.34782608706667;32.635078103878;5.434782609;10.0931676981918;4.99011857875207;NA;NA;17.391304344;13.2525083579574;2.717391304;21.73913043;26.6748003484152;NA;NA;11.5217391332;NA;8.695652176;84.2391304222369;7.60869565406667;NA;"2000/05";260.41935483871;273.966666666667;321.129032258065;276.51724137931;267.645161290323;NA
"3";2.717391304;4.16666666804444;NA;4.34782608706667;NA;NA;NA;15.2591973248544;NA;NA;NA;NA;21.5353260850523;NA;NA;NA;13.043478264;11.4130434783;NA;NA;67.1583850940816;NA;25.5434782577143;19.5466595929067;2.71739130455;2.717391304;NA;7.06521739342222;41.9082125587202;7.84161490828163;34.9853990928061;NA;12.249163876;53.0100334438698;NA;NA;NA;10.0931677046082;3.80434782633333;3.80434782633333;31.9135490368882;NA;NA;20.65217391337;NA;NA;9.23913043175;21.73913043;27.17391304;"2000/08";259.677419354839;267.838709677419;264.5;260.41935483871;273.966666666667;321.129032258065
"4";NA;1.739130434864;6.2500000014625;197.113083369939;1.847826087144;NA;21.7391304313333;10.86956522;NA;5.9782608714;NA;NA;4.34782608808;NA;5.434782609;NA;19.2725752477929;NA;NA;NA;2.717391304;14.3115942023778;52.8764581111347;79.4795058464537;175.649810972873;NA;NA;5.4347826101;5.108695654176;NA;123.227788273035;NA;12.1047430844793;8.369565219936;NA;NA;3.80434782633333;23.7466725838479;3.80434782633333;3.152173913296;59.5588235308623;NA;NA;17.3387096770581;NA;5.108695654176;30.8582721512586;27.17391304;38.04347826;"2000/11";256.433333333333;255.225806451613;261.466666666667;259.677419354839;267.838709677419;264.5
"5";NA;44.052795028862;24.2892976606947;400.49220673658;8.369565219936;3.80434782633333;NA;5.434782609;NA;32.0652173902125;NA;NA;18.0124223575837;NA;38.04347826;NA;10.86956522;NA;NA;NA;10.86956522;10.86956522;5.0465838531102;62.6969652769964;234.834723070476;2.717391304;NA;NA;47.4378881985653;4.34782608706667;39.8109243514269;NA;8.38100686248144;6.2500000014625;NA;NA;5.434782609;94.0217391336947;4.3478260872;10.242474916155;10.9015345253848;10.86956522;NA;92.9347826047875;3.80434782633333;8.58695652454133;109.891304342986;29.8913043497778;112.523629497895;"2001/02";287.464285714286;278.483870967742;259.096774193548;256.433333333333;255.225806451613;261.466666666667
"6";2.717391304;71.6956522000832;68.1818182008628;96.245059271643;52.98913043985;7.84161490828163;5.434782609;3.2608695654;NA;NA;NA;NA;5.760869565232;NA;2.71739130455;NA;NA;4.11490683232245;NA;NA;24.45652174;5.434782609;3.80434782692727;95.7142857433644;16.032608695525;8.152173913;NA;13.2525083579574;8.64624505859008;9.23913043598462;47.356300665372;5.434782609;31.9293478228281;8.369565219936;NA;NA;30.4347826093333;26.2755102067291;NA;4.6195652191375;9.08920539527277;NA;21.73913043;76.3660399431863;3.80434782633333;4.3478260872;33.4736680956728;30.0831202038263;108.6956522;"2001/05";220.387096774194;246.933333333333;218.935483870968;287.464285714286;278.483870967742;259.096774193548
"7";4.3478260872;13.8043478245653;7.06521739008889;76.1867790923722;16.30434783;NA;NA;11.141304351725;NA;2.717391304;NA;NA;11.195652170936;NA;NA;NA;16.30434783;NA;NA;NA;21.73913043;NA;2.9891304348875;42.8946735168282;7.84161490828163;10.86956522;NA;5.434782609;17.6630434769917;10.86956522;24.0452408931819;5.434782609;40.5518394658935;4.3478260872;NA;NA;3.80434782633333;113.407787881623;5.434782609;5.434782609;2.06521739245333;NA;15.8358320825065;30.434782608;NA;7.60869565406667;23.1884057962074;4.3478260872;32.60869565;"2001/08";145.774193548387;141.548387096774;173.366666666667;220.387096774194;246.933333333333;218.935483870968
"8";5.434782609;58.6120401291751;36.2173913032224;32.3231392781794;4.3478260872;16.30434783;7.37577639522449;8.369565219936;NA;2.717391304;NA;NA;32.60869565;NA;2.717391304;NA;NA;2.717391304;NA;NA;21.7391304313333;16.30434783;5.4347826101;56.1264822185528;78.3102766999835;16.739130430296;NA;21.73913043;27.3393194699883;3.152173913296;73.9130434775758;NA;39.8715415059372;36.9565217402667;NA;NA;5.434782609;33.4161490665479;5.434782609;10.86956522;19.5652173896;NA;77.9130434642048;59.7826087;2.717391304;21.1956521712;159.937888216735;11.5217391332;43.47826087;"2001/10";160.935483870968;144.7;145.774193548387;141.548387096774;173.366666666667;220.387096774194
"9";NA;10.3260869581;58.3612040098651;217.804347835596;NA;26.95652173776;2.717391304;26.397515526498;NA;16.30434783;NA;NA;119.992872451047;NA;3.152173913296;NA;16.30434783;29.3060200651101;NA;NA;5.434782609;16.4130434753547;57.06521739;101.778363777418;785.151974958632;2.717391304;2.717391304;11.7474916356249;4.6052631573856;16.032608695525;13.8729977100139;2.717391304;17.3913043459556;11.4130434811333;2.717391304;NA;3.80434782633333;105.612128125642;2.717391304;8.369565219936;8.69565217388571;5.97826086965;55.4951690779514;5.97826086965;2.717391304;6.5217391328;153.256060044292;5.434782609;2.717391304;"2002/03";337;368.928571428571;283.548387096774;193.58064516129;171.433333333333;160.935483870968
"10";2.71739130455;6.22909699192071;19.8369565233708;264.847826102768;2.9891304348875;21.6304347836533;3.80434782625;2.717391304;NA;70.65217391;2.717391304;NA;NA;NA;8.152173913;NA;8.369565219936;3.80434782633333;NA;NA;26.397515526498;5.97826086965;12.9755434773789;40.4264213969714;86.8944099245728;3.80434782633333;NA;3.80434782625;36.9147157194016;7.84161490828163;17.402867715148;2.717391304;13.58695652264;3.21146245055207;NA;NA;7.06521739111667;35.7411067195492;NA;4.72408026682959;3.80434782436667;NA;83.3740017989773;153.745059265946;NA;5.543478263064;67.3285952842288;8.152173913;5.434782609;"2002/05";242.903225806452;277.6;337;368.928571428571;283.548387096774;193.58064516129
