"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"Hopli.spp";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes"
1;0.2;0.363636363636364;0.628099173553719;NA;0.5;0;0.4;0.75;0;0.72972972972973;NA;0.267515923566879;NA;1;NA;NA;0.40625;NA;NA;0;NA;0.9;0.6;0.28310502283105;1;0.75;NA;0.5;0.0294117647058824;1;0.3125;NA;0.285714285714286;0.444444444444444;NA;0.5;NA;0.588235294117647;0.5;NA;0.666666666666667;NA;0.428571428571429;1;NA;0.25;0.6;0.285714285714286;0;"2003/03"
0;0.333333333333333;0.333333333333333;0.227272727272727;0.333333333333333;0.222222222222222;0.111111111111111;NA;NA;0;0.8;NA;0.5;NA;0;NA;NA;NA;NA;NA;0;0.333333333333333;1;0.4;0.135416666666667;0;0.666666666666667;0;0.5;0.0285714285714286;0.5;0.315789473684211;NA;0.666666666666667;0.25;NA;NA;NA;0.307692307692308;0;0.25;0.4;NA;0.181818181818182;0.5;NA;0.666666666666667;0.461538461538462;0.28;0.5;"2003/09"
0.555555555555556;0.233333333333333;0.318181818181818;0.555555555555556;0.5;0.333333333333333;0;NA;NA;0.333333333333333;0.454545454545455;NA;0;NA;0.5;NA;0;NA;NA;NA;0;0.5;0.384615384615385;0.393939393939394;0.243386243386243;0.185714285714286;0.909090909090909;NA;0.75;0;1;0.398148148148148;0.5;0.5;0.769230769230769;NA;NA;0.666666666666667;0.333333333333333;0;0.75;0.136363636363636;NA;0.5;0.363636363636364;NA;0;0.292682926829268;0.205882352941176;0.117647058823529;"2004/03"
NA;0.285714285714286;0;0.285714285714286;0;0;NA;0.333333333333333;NA;1;0.75;NA;0.0909090909090909;NA;1;NA;NA;NA;NA;NA;0;0;1;0;0.174129353233831;0;NA;0;0.333333333333333;0;0;0.192307692307692;NA;NA;0;NA;NA;NA;0;NA;0;0.0909090909090909;NA;0.142857142857143;0.166666666666667;NA;1;0.5;0;NA;"2004/06"
0;0.13953488372093;0.463414634146341;0.476190476190476;0;0;1;NA;NA;0.117647058823529;0.333333333333333;NA;0;NA;0.6;NA;0;NA;NA;NA;0;1;0.5;0.2;0.0833333333333333;0.571428571428571;0.666666666666667;NA;1;0.0625;0.5;0.257731958762887;0;0;0.636363636363636;NA;NA;0.258064516129032;0.28030303030303;0;0.333333333333333;0.4;NA;0.285714285714286;0.333333333333333;0;0;0.266666666666667;0.111111111111111;0.333333333333333;"2004/09"
0;0.40625;0.333333333333333;0.2;0.25;0;0.333333333333333;NA;1;0.166666666666667;0.5;NA;0.2;NA;0;NA;NA;NA;NA;NA;0;NA;0.5;0.344827586206897;0.118918918918919;0.416666666666667;0.571428571428571;0;0.5;0.0588235294117647;1;0.2875;0.25;NA;1;NA;0.5;0.136363636363636;0.540540540540541;0;0.615384615384615;0.35;NA;0.818181818181818;NA;NA;NA;0.215686274509804;0.1875;0;"2004/12"
0;0.317073170731707;0.558823529411765;0.701492537313433;0.416666666666667;0.714285714285714;0.8;0;0.5;0.811320754716981;0.727272727272727;NA;0.2;NA;1;NA;NA;0.772727272727273;NA;NA;0;0;0.84;0.611111111111111;0.114973262032086;0.6;0.8;0;NA;0.0588235294117647;0.833333333333333;0.594339622641509;1;0.645833333333333;1;1;NA;0.368421052631579;0.422222222222222;0.571428571428571;0.689655172413793;0.448275862068966;1;0.423076923076923;0.538461538461538;NA;0.142857142857143;0.691525423728814;0.448275862068966;0;"2005/03"
0.5;0.3375;0.257142857142857;0.684210526315789;0;0.454545454545455;NA;NA;0;NA;0.285714285714286;NA;0.25;NA;NA;NA;1;0;NA;NA;0;0.2;1;0.419354838709677;0.106508875739645;1;1;NA;0.642857142857143;0.0344827586206897;0.714285714285714;0.6;1;0.535714285714286;0.75;1;1;0.25;0.142857142857143;0.333333333333333;0.5;0.416666666666667;1;0.75;0;NA;0.5;0.740740740740741;0.533333333333333;1;"2005/06"
0.458333333333333;0.326086956521739;0.142857142857143;0.375;0;0.25;0;NA;0.5;0;0;NA;0.111111111111111;NA;NA;NA;1;0.428571428571429;NA;NA;0;0.666666666666667;1;0.259259259259259;0.0901639344262295;1;0.928571428571429;NA;NA;0.0277777777777778;0.571428571428571;0.357142857142857;NA;1;0.636363636363636;NA;NA;NA;0;NA;1;0.75;1;0.5;0.25;NA;0;0.958333333333333;0.184210526315789;NA;"2005/09"
0;0.138392857142857;0.526315789473684;0.275862068965517;0;0.25;1;0.142857142857143;1;0.5;0.666666666666667;0.5;0.111111111111111;NA;0;NA;1;0;NA;NA;0;0;0.583333333333333;0.45360824742268;0.0821256038647343;0.142857142857143;0.842105263157895;NA;0.5;0.0714285714285714;0.714285714285714;0.309178743961353;1;0.666666666666667;0.6875;NA;NA;0.529411764705882;0.242718446601942;0.333333333333333;0.666666666666667;0.4;0.75;0.582417582417582;0.34375;NA;0;0.576923076923077;0.181818181818182;0.264150943396226;"2005/12"
