"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"-0.675253945802031";"-1.13675358543887";"-0.213754306165196";"0.00492542922571109";"0.0390507320045734";"-0.304498444022384";"0.382599908031531";"0.820531158095434";"0.00293514284127919";"79.7693526338215";"56"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"0.481194032178438";"0.0184674050115703";"0.943920659345306";"0.0417731365169334";"-0.239278573894723";"-0.7733984983542";"0.294841350564755";"0.374253368868959";"0.27305666146741";"73.3095772183497";"68"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.467748218122325";"0.187593572375295";"0.747902863869354";"0.00141501367722252";"-0.485873387743671";"-0.806304304915706";"-0.165442470571636";"0.00352492232628209";"0.0682915285609553";"36.5534841224365";"68"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"0.0113232527458151";"-0.615608719581609";"0.638255225073239";"0.970881146746311";"-0.408482147026591";"-0.907241586048329";"0.0902772919951463";"0.105025608774628";"7.93651716489396e-05";"64.773665962441";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"-1.05856585452975";"-1.62728173660867";"-0.489849972450837";"0.000462729770203834";"-0.259049060000973";"-0.682271977137202";"0.164173857135255";"0.224988115587812";"0.00871439913768779";"91.8001500114737";"56"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"0.529879686985757";"0.0207291543370249";"1.03903021963449";"0.0416696965518087";"-0.691441431507847";"-1.16628104894754";"-0.216601814068152";"0.00510545670914603";"0.227308049001282";"79.6282666107606";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"-0.043683012805149";"-0.463793061391578";"0.37642703578128";"0.835896069559536";"0.665331110969641";"0.245449400681771";"1.08521282125751";"0.00241232098903089";"0.00741614157191557";"56.7226985287092";"62"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"0.00212095205189148";"-0.532732028219442";"0.536973932323225";"0.993584500608633";"-0.0708434588092491";"-0.378005530060014";"0.236318612441516";"0.640664323364438";"2.11429679526032e-07";"31.1718228500041";"32"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"0.106661542888994";"-0.784018498160738";"0.997341583938726";"0.808843181224973";"-0.104171742662849";"-0.610322755052556";"0.401979269726858";"0.677853027650791";"0.000144254125943947";"70.3280980731584";"35"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"-0.182509874801478";"-0.485950142731";"0.120930393128044";"0.233885495179387";"-0.573442276438094";"-0.924728530460659";"-0.22215602241553";"0.00178756746211678";"0.012370883672943";"44.4438368917828";"66"
"11";"S.margina";"Serrasalmus marginatus";"S.mar";"Partial";"No";"Pisc";"Yes";"-0.484250232490675";"-0.782980134193281";"-0.185520330788069";"0.00190025415555472";"0.074775986775091";"-0.220322904019134";"0.369874877569316";"0.614526119797734";"0.107734492624791";"42.3768603173012";"68"
"12";"S.maculat";"Serrasalmus maculatus";"S.mac";"Partial";"No";"Pisc";"Yes";"0.0758452393681275";"-0.413760349983015";"0.56545082871927";"0.757796575269016";"0.21372174843375";"-0.281351383184351";"0.708794880051851";"0.391391263515456";"0.0209188074459533";"97.6828911298808";"64"
"13";"M.lippinc";"Metynnis lippincottianus ";"M.lip";"Total";"No";"Omn";"No";"-0.127765074227312";"-0.528275812225128";"0.272745663770504";"0.525730079045257";"0.15901675712553";"-0.212872768161023";"0.530906282412082";"0.39567585220281";"0.00119505149115401";"75.5916556080863";"62"
"14";"P.mesopot";"Piaractus mesopotamicus";"P.mes";"Total";"Yes";"Herb";"No";"0.460239816762285";"-0.153517277859718";"1.07399691138429";"0.136137765600273";"-0.0667270204057028";"-0.53530648618048";"0.401852445369075";"0.773186105249724";"0.0145242261834938";"51.4364528797251";"33"
"15";"H.orthono";"Hemiodus orthonops";"H.ort";"Total";"No";"Det";"No";"0.0122018056230766";"-0.582269037165385";"0.606672648411538";"0.966841305437759";"0.00962948504887686";"-0.560832275018594";"0.580091245116347";"0.972727626622298";"0.0672140073540191";"44.238887851172";"33"
"16";"R.vulpinu";"Rhaphiodon vulpinus";"R.vul";"Total";"Yes";"Pisc";"No";"-0.289608781615221";"-0.819137329980068";"0.239919766749627";"0.27736833767896";"0.133291259153241";"-0.255995498945834";"0.522578017252315";"0.494948778673509";"0.0243503793280738";"83.6312890556373";"54"
"17";"Ast.lacus";"Astyanax lacustris";"Ast.l";"Partial";"No";"Ins";"No";"-0.210105121068949";"-0.674877594462391";"0.254667352324494";"0.36995161162152";"-0.145325490792718";"-0.659583700093644";"0.368932718508208";"0.574440617460589";"0.00146966418686752";"97.3870101364142";"68"
"18";"M.aff.int";"Moenkhausia intermedia";"M.int";"Partial";"No";"Omn";"No";"-0.147344595233795";"-0.540939570541302";"0.246250380073711";"0.456889355666896";"0.23954575446262";"-0.139775084409373";"0.618866593334614";"0.211399533650491";"0.093614508114171";"69.7457418941219";"63"
"19";"R.descalv";"Roeboides descalvadensis";"R.des";"Partial";"No";"Ins";"No";"0.138177489049825";"-0.26903929481222";"0.545394272911871";"0.500295675389356";"-0.140418843747847";"-0.774395049401899";"0.493557361906205";"0.659637024454608";"0.0538178263165663";"76.2239309880817";"67"
"20";"A.lacustr";"Acestrorhynchus lacustris";"A.lac";"Partial";"No";"Pisc";"No";"0.0327944962848846";"-0.38145593442804";"0.447044926997809";"0.874864096020875";"-0.228220721101277";"-0.688453100600281";"0.232011658397726";"0.325678521295039";"0.381475739542463";"76.9070720089539";"68"
"21";"S.brasili";"Salminus brasiliensis";"S.bra";"Total";"Yes";"Pisc";"No";"-0.380245138247769";"-1.04361862533479";"0.28312834883925";"0.25060780417791";"-0.0225360828897406";"-0.370855085917049";"0.325782920137568";"0.895640756336532";"0.000797947002172577";"36.3218112372696";"32"
