"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"2.56857323437529";"1.46392013090676";"3.67322633784382";"2.14150993729533e-05";"0.253200858387599";"-0.483910706428734";"0.990312423203932";"0.493839852436635";"0.0628987048528593";"153.607117107679";"56"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"1.94196856155296";"0.749686894739815";"3.13425022836611";"0.0018135231418701";"-0.0340880939154106";"-1.33071777440714";"1.26254158657632";"0.958287904104662";"0.259548834687213";"199.078131826999";"68"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.589718298160276";"-0.42901827923979";"1.60845487556034";"0.251876945972683";"-1.07460842305929";"-2.43506494373542";"0.285848097616826";"0.119531758180185";"0.0850430565247631";"189.638042068684";"68"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"0.16133788601945";"-0.694125507114738";"1.01680127915364";"0.703401111566918";"-0.0189143223708075";"-0.532517004008569";"0.494688359266954";"0.940670844560417";"3.05329899615994e-06";"66.1039307109529";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"-0.0297057063300969";"-1.26856361655937";"1.20915220389917";"0.961821805380776";"0.318970327675883";"-0.521725870741686";"1.15966652609345";"0.450027189298072";"0.0448008544705858";"164.639385729842";"56"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"-0.783467940753138";"-2.74193835826886";"1.17500247676259";"0.42604919140601";"0.165966607696891";"-1.40047562908808";"1.73240884448186";"0.832579516637671";"0.389143756522785";"211.099254227813";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"0.142797443010553";"-1.54102854759015";"1.82662343361125";"0.865830442858734";"2.38596640350683";"0.856487385267854";"3.9154454217458";"0.00278523360233606";"0.357651349539531";"215.521820492173";"62"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"0.662226541823076";"-1.17264419764671";"2.49709728129286";"0.466356599266048";"-0.457296966409025";"-1.40404029046392";"0.489446357645872";"0.331378287208482";"0.319248540990459";"93.6392469602433";"32"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"-0.653858606931882";"-1.67023238548252";"0.362515171618756";"0.199385310517772";"-0.055682453277726";"-0.591526921318679";"0.480162014763227";"0.833707961720981";"0.0131939278038459";"79.3364896667575";"35"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"-0.490920917778981";"-1.5314659580218";"0.549624122463836";"0.349384078177415";"0.111316661830233";"-1.07224881693437";"1.29488214059483";"0.851521586803342";"0.279231890283768";"184.482148528694";"66"
"11";"S.margina";"Serrasalmus marginatus";"S.mar";"Partial";"No";"Pisc";"Yes";"0.0309328772146029";"-1.18962879711087";"1.25149455154007";"0.959788510145709";"0.831823974753627";"-0.313820491609269";"1.97746844111652";"0.151846749668272";"0.937144158720423";"214.113324058498";"68"
"12";"S.maculat";"Serrasalmus maculatus";"S.mac";"Partial";"No";"Pisc";"Yes";"0.448261136438206";"-0.579226788275285";"1.4757490611517";"0.386425443997643";"-0.478549757612814";"-1.36008788202387";"0.402988366798239";"0.281966701656396";"0.00122578628294094";"172.807221180394";"64"
"13";"M.lippinc";"Metynnis lippincottianus ";"M.lip";"Total";"No";"Omn";"No";"-0.702429581690606";"-1.7784397355072";"0.373580572125989";"0.196530866305332";"0.535456747987841";"-0.325557602833381";"1.39647109880906";"0.218273116759617";"0.0229551706764754";"177.065365957058";"62"
"14";"P.mesopot";"Piaractus mesopotamicus";"P.mes";"Total";"Yes";"Herb";"No";"1.00239489351487";"-0.500224834968215";"2.50501462199795";"0.183214418837573";"0.566472224225586";"-0.258793702199175";"1.39173815065035";"0.171225349137223";"0.0168042595190352";"83.8283090276871";"33"
"15";"H.orthono";"Hemiodus orthonops";"H.ort";"Total";"No";"Det";"No";"2.7159004215532";"0.897242871140808";"4.53455797196559";"0.00475298574695472";"0.465109009607066";"-1.33984939513801";"2.27006741435214";"0.602576160240734";"0.77669978429563";"113.320540723098";"33"
"16";"R.vulpinu";"Rhaphiodon vulpinus";"R.vul";"Total";"Yes";"Pisc";"No";"0.0163528270187227";"-1.10656553632354";"1.13927119036099";"0.97679045853171";"0.297124877484817";"-0.45045593891883";"1.04470569388846";"0.428621766036071";"0.00632900579452624";"149.681429786514";"54"
"17";"Ast.lacus";"Astyanax lacustris";"Ast.l";"Partial";"No";"Ins";"No";"-1.05314433913696";"-2.45785668835981";"0.351568010085892";"0.139155996580932";"2.08099274768788";"0.727128092898803";"3.43485740247695";"0.00312463929684225";"0.186593242545853";"226.374134824099";"68"
"18";"M.aff.int";"Moenkhausia intermedia";"M.int";"Partial";"No";"Omn";"No";"0.90817869072245";"-1.06993498126278";"2.88629236270769";"0.362105608744194";"0.443474171713691";"-1.36588743269736";"2.25283577612475";"0.625729125633395";"0.0787791502012706";"258.801031798815";"63"
"19";"R.descalv";"Roeboides descalvadensis";"R.des";"Partial";"No";"Ins";"No";"0.100417526331713";"-1.38075546199914";"1.58159051466257";"0.892690685634851";"0.860573075710187";"-1.20706891196286";"2.92821506338323";"0.408796957934765";"0.864585897673807";"223.63868905961";"67"
"20";"A.lacustr";"Acestrorhynchus lacustris";"A.lac";"Partial";"No";"Pisc";"No";"0.563345333362668";"-0.852804068851908";"1.97949473557724";"0.429817109109726";"-1.13660870935204";"-2.55763808060563";"0.284420661901554";"0.11502521684738";"0.0359948521318055";"223.939697538198";"68"
"21";"S.brasili";"Salminus brasiliensis";"S.bra";"Total";"Yes";"Pisc";"No";"0.908415743469247";"-0.335529107154425";"2.15236059409292";"0.146089531080322";"0.468990615870254";"-0.268714718590458";"1.20669595033096";"0.203758238120564";"0.0611916782437994";"80.0891353306242";"32"
