"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"-0.190924200289339";"-0.647882104694197";"0.26603370411552";"0.405638770181699";"0.113238732171195";"-0.252833341643084";"0.479310805985474";"0.537491782803274";"0.00178960929730317";"83.7317124172881";"55"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"-0.194396110229629";"-0.582915538384042";"0.194123317924784";"0.321284860650009";"0.21737067641614";"-0.230077135099293";"0.664818487931573";"0.33545121038499";"0.243456776365737";"71.6516451394473";"67"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.146941912611471";"-0.152577471266858";"0.4464612964898";"0.330741547819855";"-0.376937193386472";"-0.723347233245669";"-0.0305271535272746";"0.0334276503890565";"0.086444997149294";"44.1141825013693";"67"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"-0.422848269308728";"-1.0455333497045";"0.199836811087041";"0.176171250811709";"-0.321887227600983";"-0.827269576497867";"0.183495121295901";"0.203782947769906";"0.00341012464882524";"62.8748153271528";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"-0.517376014282967";"-1.11087366600053";"0.0761216374345958";"0.086143653077478";"-0.169861514140069";"-0.645838393265821";"0.306115364985684";"0.477126833403654";"0.00573177575427335";"98.6360987865762";"55"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"0.404723285518726";"-0.112469554936994";"0.921916125974445";"0.122514152192342";"-0.719611571077913";"-1.21349087651599";"-0.225732265639838";"0.00507999898902108";"0.0402060716748671";"81.4027545996346";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"-0.437363532240587";"-0.801075657136904";"-0.0736514073442712";"0.0192851532531761";"0.63744324452966";"0.251078102179578";"1.02380838687974";"0.00164432608303939";"0.121483927931111";"51.3712771946594";"61"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"0.103715153156229";"-0.383280072664047";"0.590710378976505";"0.666001891606682";"-0.0573407026608798";"-0.36190300142437";"0.24722159610261";"0.702664034663643";"6.38987493106979e-07";"31.1695363660022";"31"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"-0.2384918112509";"-1.04476786373038";"0.567784241228576";"0.550713686106288";"-0.125372338568354";"-0.639247318348174";"0.388502641211466";"0.622285058120654";"0.000157709002624421";"68.4060149148544";"34"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"-0.066203222412659";"-0.404114028845537";"0.271707584020219";"0.696669342110063";"-0.529038814543997";"-0.897423276519094";"-0.1606543525689";"0.0055958124115925";"0.0062537795486411";"44.6730641153405";"65"
"11";"S.margina";"Serrasalmus marginatus";"S.mar";"Partial";"No";"Pisc";"Yes";"-0.374279108470564";"-0.708957122170212";"-0.0396010947709166";"0.0289762037985931";"0.12190464336705";"-0.212134331856348";"0.455943618590449";"0.468628163824168";"0.121972197857605";"44.8384435673505";"67"
"12";"S.maculat";"Serrasalmus maculatus";"S.mac";"Partial";"No";"Pisc";"Yes";"-0.0598538690393792";"-0.556338076261142";"0.436630338182383";"0.810263544092282";"0.259279315625189";"-0.23250099649002";"0.751059627740398";"0.295832579947471";"0.0205644591927333";"96.3049793187393";"63"
"13";"M.lippinc";"Metynnis lippincottianus ";"M.lip";"Total";"No";"Omn";"No";"-0.0778652177421889";"-0.515784766183167";"0.36005433069879";"0.723192089446568";"0.0948660368709297";"-0.287377326974106";"0.477109400715966";"0.621214387052819";"0.000207030205879055";"72.6681591339482";"61"
"14";"P.mesopot";"Piaractus mesopotamicus";"P.mes";"Total";"Yes";"Herb";"No";"-0.15908645379771";"-0.812920999375007";"0.494748091779588";"0.622873572118784";"-0.157879302137187";"-0.654691990147039";"0.338933385872667";"0.52127480350316";"0.00104548518299871";"53.0638530310434";"33"
"15";"H.orthono";"Hemiodus orthonops";"H.ort";"Total";"No";"Det";"No";"-0.106231227074569";"-0.652557806867763";"0.440095352718625";"0.694095728658004";"0.0333597104536216";"-0.548251136346792";"0.614970557254035";"0.907530212160514";"0.0740693452424668";"44.3385775930331";"33"
"16";"R.vulpinu";"Rhaphiodon vulpinus";"R.vul";"Total";"Yes";"Pisc";"No";"-0.343828579144714";"-0.923753402972144";"0.236096244682716";"0.239337642087501";"0.156826558104323";"-0.238219460116548";"0.551872576325194";"0.429010206072198";"0.105994013494638";"82.768963437173";"53"
"17";"Ast.lacus";"Astyanax lacustris";"Ast.l";"Partial";"No";"Ins";"No";"-0.296526449247946";"-0.719251502891637";"0.126198604395746";"0.165944519109139";"-0.296300734755438";"-0.78251887452917";"0.189917405018295";"0.227916586013267";"0.00291544850226343";"94.9013074994751";"67"
"18";"M.aff.int";"Moenkhausia intermedia";"M.int";"Partial";"No";"Omn";"No";"4.67916252889326e-05";"-0.39301476021543";"0.393108343466008";"0.999810742296441";"0.226051682024822";"-0.168976248361268";"0.621079612410911";"0.25681047600388";"0.0302210884774286";"70.3707174024324";"62"
"19";"R.descalv";"Roeboides descalvadensis";"R.des";"Partial";"No";"Ins";"No";"-0.136527852988126";"-0.535988630156523";"0.262932924180271";"0.497114944227647";"-0.14115222721737";"-0.755644769672633";"0.473340315237893";"0.647792833154016";"0.262055542420931";"73.9586274480277";"66"
"20";"A.lacustr";"Acestrorhynchus lacustris";"A.lac";"Partial";"No";"Pisc";"No";"-0.44410584352079";"-0.837678745469038";"-0.0505329415725425";"0.0276127468857545";"-0.138331737490506";"-0.567295912583738";"0.290632437602727";"0.521731853373821";"0.731320281227039";"71.0722833419238";"67"
"21";"S.brasili";"Salminus brasiliensis";"S.bra";"Total";"Yes";"Pisc";"No";"-0.195113995777753";"-0.71529217044192";"0.325064178886414";"0.449195266987204";"-0.0263786591241678";"-0.379279961248949";"0.326522643000614";"0.879554202370452";"0.000183567926376112";"37.5927969528919";"32"
"22";"Hopli.sp3";"Hoplias argentinensis";"H.arg";"Partial";"No";"Pisc";"Yes";"-0.120448113485491";"-0.601588361176945";"0.360692134205963";"0.615000208628181";"0.45739760570543";"-0.0613900893868108";"0.976185300797671";"0.0822270185067624";"0.346884811162294";"60.2845406213683";"40"
"23";"H.mbigua";"Hoplias mbigua";"H.mbi";"Partial";"No";"Pisc";"Yes";"0.192219248103687";"-0.179590516332938";"0.564029012540312";"0.302360633392772";"-0.27638318855284";"-0.968330677404187";"0.415564300298507";"0.424283113103941";"3.75484342332789e-05";"42.4301148825655";"43"
"24";"Hopli.sp2";"Hoplias sp2";"H.sp2";"Partial";"No";"Pisc";"Yes";"-0.376651705350514";"-0.899363558791139";"0.146060148090111";"0.15285841532772";"-0.357686076677908";"-0.873622145020942";"0.158249991665126";"0.168597894125988";"0.169982375763139";"48.3252027024755";"41"
"25";"H.unitaen";"Hoplerythrinus unitaeniatus";"H.uni";"Partial";"No";"Pisc";"Yes";"-0.173764722041224";"-0.619678890335653";"0.272149446253205";"0.435082364840116";"-0.162504565514834";"-0.516044385301123";"0.191035254271456";"0.357979784003123";"0.000973605303587816";"54.0438081114534";"41"
"26";"P.maculat";"Pimelodus maculatus";"P.mac";"Partial";"No";"Omn";"No";"-0.653886580249197";"-1.05008570874491";"-0.257687451753482";"0.00161010417258013";"0.0809140847676118";"-0.244948374209245";"0.406776543744469";"0.621395988611661";"0.000702807779234598";"83.3083394974475";"65"
"27";"I.labrosu";"Iheringichthys labrosus";"I.lab";"Partial";"No";"Inv";"No";"-0.489797695862619";"-0.897705860764627";"-0.0818895309606112";"0.0196075129764904";"0.0361577389635905";"-0.251995632989129";"0.32431111091631";"0.80196959565522";"7.25297233524258e-05";"45.3540844766565";"52"
"28";"H.oremacu";"Hypophthalmus oremaculatus";"H.ore";"Partial";"No";"Plan";"No";"0.171685729881573";"-0.28576461281619";"0.629136072579336";"0.453824087038707";"-0.139389099549731";"-0.444199814209358";"0.165421615109896";"0.362118234752975";"7.20279983318569e-07";"58.4141815712627";"49"
"29";"S.lima";"Sorubim lima";"S.lim";"Total";"Yes";"Pisc";"No";"-0.322940742582445";"-0.812111967819138";"0.166230482654249";"0.189345593240368";"-0.297900253732455";"-0.685398835135417";"0.089598327670506";"0.127924923084035";"0.0374067308352215";"55.693008137842";"41"
"30";"P.corrusc";"Pseudoplatystoma corruscans ";"P.cor";"Total";"Yes";"Pisc";"No";"-0.60515380937501";"-1.08073940400706";"-0.129568214742958";"0.0135083912836056";"0.370101189456185";"-0.15568547947661";"0.89588785838898";"0.164288655674088";"0.383627884499812";"86.227107897157";"63"
"31";"H.platyrh";"Hemisorubim platyrhynchos";"H.pla";"Total";"Yes";"Pisc";"No";"-0.462497747467989";"-0.948091022165344";"0.0230955272293659";"0.0615051835954386";"-0.0743586453584043";"-0.400879790154041";"0.252162499437232";"0.649704078997572";"0.00433489233851196";"64.0725358287016";"56"
"32";"A.osteomy";"Auchenipterus osteomystax";"A.ost";"Partial";"No";"Ins";"Yes";"0.257107731083752";"-0.0692969170012656";"0.58351237916877";"0.120442336235548";"-0.240014159085583";"-0.560429023428763";"0.0804007052575968";"0.139369515928707";"0.291028980976081";"49.563163612168";"65"
