"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"-0.433037217393912";"-1.53880170656491";"0.672727271777084";"0.435528189143905";"-0.199566144959886";"-1.047781173041";"0.648648883121226";"0.638816872570076";"0.0065647025105907";"169.284332886437";"55"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"0.997374708368024";"-0.0270213494604026";"2.02177076619645";"0.0561670288269782";"0.85963324137224";"-0.317798512692635";"2.03706499543711";"0.149586012014902";"0.0233336414419678";"195.470747940899";"67"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.609160186739529";"-0.351972603749976";"1.57029297722903";"0.210049061162134";"-1.10358640841116";"-2.49396600629081";"0.286793189468495";"0.117745859935467";"0.312655819426905";"187.021891789927";"67"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"0.784580170913845";"0.162240600869797";"1.40691974095789";"0.0151033048185348";"-0.0811587861942559";"-0.555184500756381";"0.392866928367869";"0.729563527426148";"0.0119606501929711";"60.8270189769474";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"0.861601332954276";"-0.207089810629752";"1.9302924765383";"0.111756200778364";"0.161683498401203";"-0.685079367091015";"1.00844636389342";"0.703166559811153";"0.292208117188279";"158.573238426597";"55"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"-0.966204891264739";"-2.73723854547251";"0.804828762943029";"0.27890596537083";"0.340442139721153";"-1.26066805355562";"1.94155233299792";"0.671587423490233";"0.528423267234445";"210.759864248353";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"0.178121042599564";"-1.25233269942907";"1.6085747846282";"0.804044004615961";"2.36335377748875";"0.847888795171927";"3.87881875980557";"0.00280320224113757";"0.451158803707776";"212.24732137073";"61"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"-0.527943277809235";"-1.84420504257004";"0.78831848695157";"0.418244902315714";"-0.607258839263461";"-1.4796775703214";"0.265159891794477";"0.164974149504346";"0.205946521912415";"89.9963836277703";"31"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"-0.897605355964311";"-1.82095952498081";"0.0257488130521921";"0.0563298510635149";"-0.208589482825566";"-0.731368431115932";"0.3141894654648";"0.421984475122861";"0.00951422574272336";"76.6293857819458";"34"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"1.38525607949404";"0.529390287776176";"2.24112187121191";"0.00195006602469868";"0.0373666887400042";"-1.01348794995859";"1.0882213274386";"0.943562722162114";"0.00623239081218235";"173.983768188963";"65"
