"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"2.4261637015298";"1.50798060881327";"3.34434679424633";"2.2907544785697e-06";"-0.113229167826087";"-0.799253349654419";"0.572795014002244";"0.741911353754843";"0.41087871756254";"150.255262644981";"56"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"1.83712643694064";"0.629328451135195";"3.04492442274608";"0.0034295088392561";"-0.550841320223487";"-1.94314107851199";"0.841458438065018";"0.432321596618381";"0.0379724440431433";"198.070406579984";"68"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.559690388013218";"-0.311960393663837";"1.43134116969027";"0.204267439723683";"-1.15268914600438";"-2.50583742542003";"0.200459133411277";"0.0936705969605665";"0.0750395138837154";"189.642084959218";"68"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"0.54007021006812";"-0.1087682953681";"1.18890871550434";"0.0996966072796731";"0.0604341838413618";"-0.436504301955748";"0.557372669638472";"0.805935569130448";"0.000288740464239041";"63.9749332389504";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"0.804478061868464";"-0.308562122441232";"1.91751824617816";"0.153033097761536";"0.313289406782277";"-0.513580898809386";"1.14015971237394";"0.450652607634733";"0.116918097416574";"162.809437814218";"56"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"-0.665799591774813";"-2.38607831768948";"1.05447913413985";"0.441164658895551";"0.162301604331258";"-1.40614516643448";"1.730748375097";"0.836428468958793";"0.404412532595141";"211.400248793787";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"-0.50583398642513";"-2.07633162064069";"1.06466364779043";"0.521755115109478";"2.55444229972488";"0.994322020020155";"4.11456257942961";"0.00176423627621745";"0.530410045973462";"215.279510240607";"62"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"0.141309240709159";"-1.46496666399923";"1.74758514541754";"0.858462491969738";"-0.573213287597405";"-1.49825166515316";"0.351825089958354";"0.215110897691945";"0.20829266775614";"94.3873494731642";"32"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"-0.497103456142373";"-1.48746260657324";"0.493255694288493";"0.314248083662043";"-0.0861970215256539";"-0.620396319858335";"0.448002276807027";"0.744543172319877";"0.0162987533280702";"80.1442775851067";"35"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"0.555306520114824";"-0.295078221663321";"1.40569126189297";"0.196663499102778";"0.51550506223661";"-0.611212221289505";"1.64222234576273";"0.364046703839855";"0.085568441634616";"184.059446788916";"66"
"11";"S.margina";"Serrasalmus marginatus";"S.mar";"Partial";"No";"Pisc";"Yes";"0.117798087098167";"-1.01368428487189";"1.24928045906822";"0.835940697414886";"0.811665399117955";"-0.348416635780406";"1.97174743401632";"0.167068540903385";"0.911643863158568";"214.222764068164";"68"
"12";"S.maculat";"Serrasalmus maculatus";"S.mac";"Partial";"No";"Pisc";"Yes";"0.625222830504438";"-0.267603115032478";"1.51804877604135";"0.166494158487366";"-0.554473352708577";"-1.43870191469697";"0.329755209279812";"0.214660948811154";"0.00111273715928927";"171.897188788745";"64"
"13";"M.lippinc";"Metynnis lippincottianus ";"M.lip";"Total";"No";"Omn";"No";"-0.906649052025113";"-1.85008507421689";"0.0367869701666642";"0.0593143435160661";"0.58733163763098";"-0.257207181687364";"1.43187045694932";"0.169272623606905";"0.0432993796879972";"175.396244205641";"62"
"14";"P.mesopot";"Piaractus mesopotamicus";"P.mes";"Total";"Yes";"Herb";"No";"0.911001597893081";"-0.197694100349366";"2.01969729613553";"0.103714946585838";"0.605222453508392";"-0.212177884518122";"1.42262279153491";"0.140960375294826";"0.0896263035171032";"83.511773786062";"33"
"15";"H.orthono";"Hemiodus orthonops";"H.ort";"Total";"No";"Det";"No";"2.46449432132406";"0.598164258123329";"4.33082438452478";"0.0113709768905218";"0.261470388227105";"-1.55992258259027";"2.08286335904448";"0.771404012592503";"0.199337094281926";"114.411702786103";"33"
"16";"R.vulpinu";"Rhaphiodon vulpinus";"R.vul";"Total";"Yes";"Pisc";"No";"0.544937040751909";"-0.464179528874079";"1.5540536103779";"0.283408766679866";"0.302540460386871";"-0.43346779869582";"1.03854871946956";"0.413085075622887";"0.00739997589042086";"148.74510062232";"54"
"17";"Ast.lacus";"Astyanax lacustris";"Ast.l";"Partial";"No";"Ins";"No";"-0.417226229760306";"-1.77029320953834";"0.935840750017725";"0.540157701435629";"2.07465742008794";"0.605874564260655";"3.54344027591523";"0.00634312148597888";"0.156003842805386";"228.319750836388";"68"
"18";"M.aff.int";"Moenkhausia intermedia";"M.int";"Partial";"No";"Omn";"No";"0.89950263934846";"-0.98242817955895";"2.78143345825587";"0.342869140241044";"0.365873573732136";"-1.43349451940125";"2.16524166686552";"0.685653910573295";"0.0912632693602975";"258.866511336497";"63"
