"specie";"scientific_name";"short_name";"spawning_type";"migration";"diet";"parental_care";"slope.level";"ci.lower.level";"ci.upper.level";"p.level";"slope.prop";"ci.lower.prop";"ci.upper.prop";"p.prop";"p.shapiro";"aic";"n"
"1";"L.frideri";"Leporinus friderici ";"L.fri";"Total";"No";"Omn";"No";"-0.661600541138671";"-1.20690621800487";"-0.116294864272468";"0.0183586499868177";"-0.0481035549121098";"-0.41716387963272";"0.3209567698085";"0.794774051858505";"0.00185059538961165";"81.800589058277";"56"
"2";"L.lacustr";"Leporinus lacustris";"L.lac";"Partial";"No";"Herb";"No";"0.342460731321804";"-0.128368677949269";"0.813290140592877";"0.151136843624998";"-0.100032696305576";"-0.603858687154723";"0.40379329454357";"0.693017337757333";"0.350120421525047";"75.1757123324349";"68"
"3";"S.borelli";"Schizodon borellii";"S.bor";"Total";"No";"Herb";"No";"0.471027326454005";"0.176094940471521";"0.765959712436489";"0.00219357920446618";"-0.435347191271469";"-0.758884263398594";"-0.111810119144344";"0.00913646767282797";"0.0660670961776301";"37.0785272436536";"68"
"4";"M.macroce";"Megaleporinus macrocephalus";"M.mac";"Total";"Yes";"Omn";"No";"-0.122609946156574";"-0.885098962870183";"0.639879070557035";"0.74539018160912";"-0.387965453474049";"-0.899508878233704";"0.123577971285606";"0.132214870643858";"0.000285317096941834";"64.2738188824281";"35"
"5";"M.piavuss";"Megaleporinus piavussu";"M.pia";"Total";"Yes";"Herb";"No";"-0.86327658533751";"-1.5214529162797";"-0.205100254395317";"0.0111296924283522";"-0.323139468679289";"-0.769086614651991";"0.122807677293413";"0.152011022552186";"0.0332511240951773";"97.4190780577007";"56"
"6";"S.brevipi";"Steindachnerina brevipinna";"S.bre";"Total";"No";"Det";"No";"0.305930845412949";"-0.257287579627338";"0.869149270453236";"0.280982723400135";"-0.658457574664735";"-1.14548627531837";"-0.171428874011098";"0.00898530630310215";"0.105976224216846";"82.4903846181805";"57"
"7";"S.insculp";"Steindachnerina insculpta ";"S.ins";"Total";"No";"Det";"No";"0.0613094717139367";"-0.38366471381312";"0.506283657240993";"0.783740833015878";"0.646870886179128";"0.239195646120125";"1.05454612623813";"0.00238185625869158";"0.0111351061550022";"56.5741264525923";"62"
"8";"C.nagelii";"Cyphocharax nagelii";"C.nag";"Total";"No";"Det";"No";"0.259928047657595";"-0.358831549236991";"0.87868764455218";"0.397299530840892";"-0.0389185193367688";"-0.353370189961258";"0.27553315128772";"0.801953202259638";"9.49256852153349e-07";"30.2026852869466";"32"
"9";"C.modestu";"Cyphocharax modestus";"C.mod";"Total";"No";"Det";"No";"0.465630813977132";"-0.420747332948944";"1.35200896090321";"0.29260692219569";"-0.102699306526718";"-0.596792479079723";"0.391393866026288";"0.674846550737144";"0.00139119589055069";"69.25706242708";"35"
"10";"P.lineatu";"Prochilodus lineatus";"P.lin";"Total";"Yes";"Det";"No";"-0.274213000471893";"-0.617284506385778";"0.0688585054419918";"0.115214203249695";"-0.602929288735693";"-0.955317075570242";"-0.250541501901145";"0.00110660770948748";"0.00661135325500666";"43.1057595400517";"66"
"11";"S.margina";"Serrasalmus marginatus";"S.mar";"Partial";"No";"Pisc";"Yes";"-0.453550265075836";"-0.775318810782986";"-0.131781719368686";"0.0064473658173025";"-0.0184068915603244";"-0.316271200078327";"0.279457416957678";"0.902158840580111";"0.13468476462239";"44.0140773204847";"68"
"12";"S.maculat";"Serrasalmus maculatus";"S.mac";"Partial";"No";"Pisc";"Yes";"0.167191185469534";"-0.380984111250165";"0.715366482189232";"0.544208647477809";"0.212627352349945";"-0.275616319918176";"0.700871024618066";"0.387264121522925";"0.0268337329946308";"97.1758171996134";"64"
